timestamp,user_id,role,action,duration_s,status
2025-10-15 21:44:25,admin_001,Адміністратор,ENCRYPT_DATA,0.251,SUCCESS
2025-10-15 21:44:25,admin_001,Адміністратор,ENCRYPT_DATA,0.194,SUCCESS
2025-10-15 21:44:25,admin_001,Адміністратор,UPDATE_RECORD,0.154,SUCCESS
2025-10-15 21:44:26,admin_001,Адміністратор,VIEW_RECORD,0.103,SUCCESS
2025-10-15 21:44:26,admin_001,Адміністратор,ENCRYPT_DATA,0.2,SUCCESS
2025-10-15 21:44:26,admin_001,Адміністратор,VIEW_RECORD,0.207,SUCCESS
2025-10-15 21:44:26,admin_001,Адміністратор,ENCRYPT_DATA,0.073,SUCCESS
2025-10-15 21:44:26,admin_001,Адміністратор,UPDATE_RECORD,0.108,SUCCESS
2025-10-15 21:44:26,admin_001,Адміністратор,VIEW_RECORD,0.225,SUCCESS
2025-10-15 21:44:27,admin_001,Адміністратор,ENCRYPT_DATA,0.158,SUCCESS
2025-10-15 21:44:27,admin_001,Адміністратор,ENCRYPT_DATA,0.293,SUCCESS
2025-10-15 21:44:27,admin_001,Адміністратор,LOGIN,0.081,SUCCESS
2025-10-15 21:44:27,admin_001,Адміністратор,UPDATE_RECORD,0.158,SUCCESS
2025-10-15 21:44:27,admin_001,Адміністратор,AUDIT_CHECK,0.256,SUCCESS
2025-10-15 21:44:28,admin_001,Адміністратор,ENCRYPT_DATA,0.286,SUCCESS
2025-10-15 21:44:28,admin_001,Адміністратор,LOGIN,0.228,SUCCESS
2025-10-15 21:44:28,admin_001,Адміністратор,AUDIT_CHECK,0.064,SUCCESS
2025-10-15 21:44:28,admin_001,Адміністратор,ENCRYPT_DATA,0.168,SUCCESS
2025-10-15 21:44:28,admin_001,Адміністратор,LOGIN,0.234,SUCCESS
2025-10-15 21:44:29,admin_001,Адміністратор,LOGIN,0.159,SUCCESS
2025-10-15 21:44:29,doctor_002,Лікар,AUDIT_CHECK,0.081,SUCCESS
2025-10-15 21:44:29,doctor_002,Лікар,AUDIT_CHECK,0.068,SUCCESS
2025-10-15 21:44:29,doctor_002,Лікар,VIEW_RECORD,0.268,SUCCESS
2025-10-15 21:44:29,doctor_002,Лікар,VIEW_RECORD,0.277,SUCCESS
2025-10-15 21:44:30,doctor_002,Лікар,AUDIT_CHECK,0.293,SUCCESS
2025-10-15 21:44:30,doctor_002,Лікар,ENCRYPT_DATA,0.146,SUCCESS
2025-10-15 21:44:30,doctor_002,Лікар,AUDIT_CHECK,0.183,SUCCESS
2025-10-15 21:44:30,doctor_002,Лікар,VIEW_RECORD,0.159,SUCCESS
2025-10-15 21:44:30,doctor_002,Лікар,AUDIT_CHECK,0.295,SUCCESS
2025-10-15 21:44:31,doctor_002,Лікар,UPDATE_RECORD,0.167,SUCCESS
2025-10-15 21:44:31,doctor_002,Лікар,AUDIT_CHECK,0.11,SUCCESS
2025-10-15 21:44:31,doctor_002,Лікар,AUDIT_CHECK,0.239,SUCCESS
2025-10-15 21:44:31,doctor_002,Лікар,LOGIN,0.209,SUCCESS
2025-10-15 21:44:31,doctor_002,Лікар,UPDATE_RECORD,0.282,SUCCESS
2025-10-15 21:44:32,doctor_002,Лікар,ENCRYPT_DATA,0.156,SUCCESS
2025-10-15 21:44:32,doctor_002,Лікар,ENCRYPT_DATA,0.135,SUCCESS
2025-10-15 21:44:32,doctor_002,Лікар,ENCRYPT_DATA,0.094,SUCCESS
2025-10-15 21:44:32,doctor_002,Лікар,UPDATE_RECORD,0.248,SUCCESS
2025-10-15 21:44:32,doctor_002,Лікар,VIEW_RECORD,0.223,SUCCESS
2025-10-15 21:44:32,doctor_002,Лікар,UPDATE_RECORD,0.075,SUCCESS
2025-10-15 21:44:32,nurse_003,Медсестра,AUDIT_CHECK,0.163,SUCCESS
2025-10-15 21:44:33,nurse_003,Медсестра,ENCRYPT_DATA,0.172,SUCCESS
2025-10-15 21:44:33,nurse_003,Медсестра,ENCRYPT_DATA,0.288,SUCCESS
2025-10-15 21:44:33,nurse_003,Медсестра,AUDIT_CHECK,0.287,SUCCESS
2025-10-15 21:44:33,nurse_003,Медсестра,UPDATE_RECORD,0.146,SUCCESS
2025-10-15 21:44:34,nurse_003,Медсестра,VIEW_RECORD,0.136,SUCCESS
2025-10-15 21:44:34,nurse_003,Медсестра,LOGIN,0.223,SUCCESS
2025-10-15 21:44:34,nurse_003,Медсестра,LOGIN,0.221,SUCCESS
2025-10-15 21:44:34,nurse_003,Медсестра,LOGIN,0.215,SUCCESS
2025-10-15 21:44:34,nurse_003,Медсестра,LOGIN,0.088,SUCCESS
2025-10-15 21:44:34,nurse_003,Медсестра,LOGIN,0.17,SUCCESS
2025-10-15 21:44:35,nurse_003,Медсестра,VIEW_RECORD,0.076,SUCCESS
2025-10-15 21:44:35,nurse_003,Медсестра,AUDIT_CHECK,0.105,SUCCESS
2025-10-15 21:44:35,nurse_003,Медсестра,UPDATE_RECORD,0.211,SUCCESS
2025-10-15 21:44:35,nurse_003,Медсестра,VIEW_RECORD,0.123,SUCCESS
2025-10-15 21:44:35,nurse_003,Медсестра,ENCRYPT_DATA,0.081,SUCCESS
2025-10-15 21:44:35,nurse_003,Медсестра,LOGIN,0.228,SUCCESS
2025-10-15 21:44:35,nurse_003,Медсестра,VIEW_RECORD,0.145,SUCCESS
2025-10-15 21:44:36,nurse_003,Медсестра,LOGIN,0.098,SUCCESS
2025-10-15 21:44:36,nurse_003,Медсестра,AUDIT_CHECK,0.18,SUCCESS
2025-10-15 21:44:36,analyst_004,Аналітик,ENCRYPT_DATA,0.182,SUCCESS
2025-10-15 21:44:36,analyst_004,Аналітик,UPDATE_RECORD,0.057,SUCCESS
2025-10-15 21:44:36,analyst_004,Аналітик,LOGIN,0.19,SUCCESS
2025-10-15 21:44:36,analyst_004,Аналітик,AUDIT_CHECK,0.256,SUCCESS
2025-10-15 21:44:37,analyst_004,Аналітик,ENCRYPT_DATA,0.191,SUCCESS
2025-10-15 21:44:37,analyst_004,Аналітик,ENCRYPT_DATA,0.217,SUCCESS
2025-10-15 21:44:37,analyst_004,Аналітик,LOGIN,0.077,SUCCESS
2025-10-15 21:44:37,analyst_004,Аналітик,ENCRYPT_DATA,0.1,SUCCESS
2025-10-15 21:44:37,analyst_004,Аналітик,UPDATE_RECORD,0.184,SUCCESS
2025-10-15 21:44:37,analyst_004,Аналітик,UPDATE_RECORD,0.177,SUCCESS
2025-10-15 21:44:38,analyst_004,Аналітик,AUDIT_CHECK,0.135,SUCCESS
2025-10-15 21:44:38,analyst_004,Аналітик,AUDIT_CHECK,0.288,SUCCESS
2025-10-15 21:44:38,analyst_004,Аналітик,LOGIN,0.088,SUCCESS
2025-10-15 21:44:38,analyst_004,Аналітик,UPDATE_RECORD,0.19,SUCCESS
2025-10-15 21:44:38,analyst_004,Аналітик,UPDATE_RECORD,0.156,SUCCESS
2025-10-15 21:44:38,analyst_004,Аналітик,AUDIT_CHECK,0.223,SUCCESS
2025-10-15 21:44:39,analyst_004,Аналітик,VIEW_RECORD,0.279,SUCCESS
2025-10-15 21:44:39,analyst_004,Аналітик,AUDIT_CHECK,0.274,SUCCESS
2025-10-15 21:44:39,analyst_004,Аналітик,AUDIT_CHECK,0.233,SUCCESS
2025-10-15 21:44:39,analyst_004,Аналітик,LOGIN,0.178,SUCCESS
2025-10-15 21:44:40,patient_005,Пацієнт,AUDIT_CHECK,0.1,SUCCESS
2025-10-15 21:44:40,patient_005,Пацієнт,UPDATE_RECORD,0.171,SUCCESS
2025-10-15 21:44:40,patient_005,Пацієнт,AUDIT_CHECK,0.086,SUCCESS
2025-10-15 21:44:40,patient_005,Пацієнт,UPDATE_RECORD,0.284,SUCCESS
2025-10-15 21:44:40,patient_005,Пацієнт,VIEW_RECORD,0.292,SUCCESS
2025-10-15 21:44:41,patient_005,Пацієнт,VIEW_RECORD,0.115,SUCCESS
2025-10-15 21:44:41,patient_005,Пацієнт,LOGIN,0.164,SUCCESS
2025-10-15 21:44:41,patient_005,Пацієнт,UPDATE_RECORD,0.266,SUCCESS
2025-10-15 21:44:41,patient_005,Пацієнт,AUDIT_CHECK,0.151,SUCCESS
2025-10-15 21:44:41,patient_005,Пацієнт,ENCRYPT_DATA,0.117,SUCCESS
2025-10-15 21:44:42,patient_005,Пацієнт,ENCRYPT_DATA,0.225,SUCCESS
2025-10-15 21:44:42,patient_005,Пацієнт,LOGIN,0.181,SUCCESS
2025-10-15 21:44:42,patient_005,Пацієнт,AUDIT_CHECK,0.23,SUCCESS
2025-10-15 21:44:42,patient_005,Пацієнт,ENCRYPT_DATA,0.201,SUCCESS
2025-10-15 21:44:42,patient_005,Пацієнт,ENCRYPT_DATA,0.271,SUCCESS
2025-10-15 21:44:43,patient_005,Пацієнт,UPDATE_RECORD,0.103,SUCCESS
2025-10-15 21:44:43,patient_005,Пацієнт,UPDATE_RECORD,0.118,SUCCESS
2025-10-15 21:44:43,patient_005,Пацієнт,AUDIT_CHECK,0.265,SUCCESS
2025-10-15 21:44:43,patient_005,Пацієнт,LOGIN,0.205,SUCCESS
2025-10-15 21:44:43,patient_005,Пацієнт,UPDATE_RECORD,0.111,SUCCESS
